City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,dryden,49.7833,-92.7503,-0.84,100,100,4.63,CA,1734283735
152,hamilton,39.1834,-84.5333,8.88,93,100,4.12,US,1734283104
153,la passe,45.5549,-0.8967,9.02,77,81,0.81,FR,1734283737
154,mahibadhoo,3.7833,72.9667,28.22,75,97,2.56,MV,1734283739
155,nyurba,63.2842,118.3319,-34.96,100,29,1.81,RU,1734283740
156,idri,27.5,13.2667,16.15,38,55,2.39,LY,1734283741
157,port elizabeth,-33.918,25.5701,20.16,97,75,7.2,ZA,1734283742
158,bilibino,68.0546,166.4372,-20.75,100,91,1.36,RU,1734283744
159,faya-largeau,17.9257,19.1043,21.1,17,5,5.73,TD,1734283745
160,kalianget,-7.05,113.9333,26.17,83,100,2.41,ID,1734283746
161,arteche,12.2645,125.4048,25.66,90,98,5.15,PH,1734283748
162,qamdo,31.1667,97.2333,-5.55,15,3,2.05,CN,1734283749
163,nykarleby,63.5228,22.5307,-10.74,84,100,5.21,FI,1734283750
164,umm kaddadah,13.6017,26.6876,19.57,23,5,5.45,SD,1734283751
165,shibushi,31.4667,131.105,6.38,85,37,1.98,JP,1734283752
166,lebu,-37.6167,-73.65,17.18,67,0,5.56,CL,1734283754
167,san angelo,31.4638,-100.437,23.12,72,75,4.63,US,1734283580
168,touros,-5.1989,-35.4608,29.53,64,38,5.77,BR,1734283756
169,okha,53.5739,142.9478,-13.76,93,100,5.72,RU,1734283758
170,bodo,67.28,14.405,-0.98,69,100,10.29,NO,1734283591
171,archangelos,36.2149,28.1149,15.99,83,100,5.71,GR,1734283760
172,severodvinsk,64.5635,39.8302,-18.64,99,84,2.43,RU,1734283761
173,igarka,67.4667,86.5833,-7.81,93,100,10.95,RU,1734283763
174,lerwick,60.1545,-1.1494,9.21,86,100,17.57,GB,1734283764
175,badger,64.8,-147.5333,-33.07,68,20,0.0,US,1734283765
176,nyrob,60.733,56.7202,-23.58,100,95,1.6,RU,1734283766
177,walvis bay,-22.9575,14.5053,20.53,64,6,8.23,NA,1734283768
178,kourou,5.1552,-52.6478,29.4,66,87,3.73,GF,1734283769
179,kirkuk,35.4681,44.3922,7.26,26,27,3.52,IQ,1734283770
180,flying fish cove,-10.4217,105.6791,25.82,94,100,2.57,CX,1734283771
181,puerto baquerizo moreno,-0.9,-89.6,25.55,73,75,7.2,EC,1734283773
182,waasmunster,51.1188,4.0773,9.78,93,100,5.34,BE,1734283774
183,al bawiti,28.3492,28.8659,14.34,40,12,3.47,EG,1734283775
184,berdigestyakh,62.0989,126.6992,-22.77,94,100,4.29,RU,1734283776
185,smithers,54.7804,-127.1743,-4.82,93,75,2.06,CA,1734283778
186,susuman,62.7833,148.1667,-23.36,98,100,1.29,RU,1734283779
187,chonchi,-42.6128,-73.8092,23.04,36,41,2.29,CL,1734283780
188,cozumel,20.5083,-86.9458,27.04,69,20,6.17,MX,1734283757
189,port macquarie,-31.4333,152.9167,21.15,99,27,1.12,AU,1734283783
190,sinabang,2.4803,96.3801,26.26,84,61,1.96,ID,1734283784
191,saipan,15.1355,145.701,28.39,79,20,7.2,MP,1734283785
192,popondetta,-8.7537,148.2534,23.76,97,100,1.17,PG,1734283786
193,mariental,-24.6333,17.9667,34.98,9,13,10.47,NA,1734283788
194,eshowe,-28.8865,31.4699,30.22,38,66,8.41,ZA,1734283789
195,kirensk,57.7853,108.1119,-24.59,100,96,0.57,RU,1734283790
196,portadown,54.4241,-6.4412,11.34,84,100,8.0,GB,1734283791
197,mpika,-11.8343,31.4529,22.21,59,49,1.2,ZM,1734283793
198,guiping,23.3925,110.0814,10.9,27,77,1.34,CN,1734283794
199,celanova,42.153,-7.9551,4.46,70,80,1.68,ES,1734283795
200,hermanus,-34.4187,19.2345,17.11,58,99,4.88,ZA,1734283797
201,barra de santo antonio,-9.4047,-35.5072,28.07,70,22,5.39,BR,1734283798
202,horta,38.5333,-28.6333,18.8,88,40,10.29,PT,1734283799
203,namibe,-15.1961,12.1522,23.5,72,7,5.82,AO,1734283800
204,khovd,48.0056,91.6419,-17.52,82,39,0.36,MN,1734283802
205,las palmas,28.4204,-14.0131,19.44,68,0,3.6,ES,1734283803
206,san julian,21.0167,-102.1667,22.27,22,27,3.72,MX,1734283804
207,kruisfontein,-34.0033,24.7314,17.07,80,90,8.7,ZA,1734283806
208,san jose del guaviare,2.5729,-72.6459,35.86,30,20,2.86,CO,1734283808
209,port lavaca,28.615,-96.6261,27.03,69,75,5.66,US,1734283809
210,minas de marcona,-15.2119,-75.1103,21.41,57,100,6.57,PE,1734283579
211,loukhi,66.0764,33.0381,-15.13,98,73,1.21,RU,1734283812
212,praia da vitoria,38.7333,-27.0667,17.14,88,75,9.42,PT,1734283813
213,reggane,26.7158,0.1714,21.26,15,29,6.46,DZ,1734283814
214,nizhniye sergi,56.6614,59.3033,-16.44,94,100,4.12,RU,1734283817
215,lobujya,27.95,86.8167,-7.76,11,0,3.37,NP,1734283818
216,tabas,33.5959,56.9244,3.12,20,0,4.12,IR,1734283819
217,altai,46.3722,96.2583,-12.24,28,46,0.68,MN,1734283821
218,bamboo flat,11.7,92.7167,26.05,89,100,3.09,IN,1734283822
219,enewetak,11.3474,162.3373,27.83,80,49,10.69,MH,1734283823
220,maxixe,-23.8597,35.3472,27.9,78,20,4.12,MZ,1734283825
221,tionk essil,12.7856,-16.5217,28.01,54,13,5.66,SN,1734283826
222,aljezur,37.3191,-8.8033,13.14,53,81,3.25,PT,1734283827
223,mont-laurier,46.5501,-75.4993,-5.28,76,98,2.69,CA,1734283828
224,jayapura,-2.5333,140.7,25.66,89,99,2.1,ID,1734283830
225,midvagur,62.0511,-7.1939,5.46,70,75,12.35,FO,1734283831
226,stanley,54.868,-1.6985,11.01,87,75,7.72,GB,1734283832
227,sihanoukville,10.6093,103.5296,25.97,73,40,2.57,KH,1734283834
228,al-hamdaniya,36.2715,43.3737,5.39,31,16,2.23,IQ,1734283835
229,yaren,-0.5472,166.916,27.79,79,95,4.98,NR,1734283836
230,pangody,65.85,74.4859,-9.48,94,100,6.72,RU,1734283837
231,sitka,57.0531,-135.33,0.94,86,100,0.0,US,1734283839
232,amalapuram,16.5833,82.0167,20.11,73,91,1.28,IN,1734283840
233,luwero,0.8492,32.4731,20.03,78,50,1.32,UG,1734283842
234,inhambane,-23.865,35.3833,27.99,78,20,4.12,MZ,1734283844
235,guelendeng,10.9176,15.5501,25.62,17,81,3.66,TD,1734283845
236,caarapo,-22.6342,-54.8222,27.56,47,1,4.4,BR,1734283846
237,lompoc,34.6391,-120.4579,11.4,67,0,6.17,US,1734283847
238,myrina,39.8797,25.0742,12.58,88,40,1.54,GR,1734283848
239,rongelap,11.1635,166.8941,27.63,80,17,9.74,MH,1734283850
240,eforie sud,44.0229,28.6494,5.43,81,44,4.32,RO,1734283851
241,yacuiba,-22.038,-63.6797,31.94,31,26,2.93,BO,1734283852
242,vershino-darasunskiy,52.35,115.5167,-23.74,94,5,1.94,RU,1734283853
243,haiku-pauwela,20.9219,-156.3051,22.36,82,72,8.05,US,1734283855
244,claiborne,32.516,-92.1918,21.52,83,100,4.12,US,1734283856
245,phu khiao,16.3765,102.1285,17.36,66,53,0.94,TH,1734283857
246,gornozavodsk,58.3758,58.3211,-19.08,99,100,1.88,RU,1734283859
247,tarumizu,31.4833,130.7,9.39,79,75,2.55,JP,1734283860
248,geraldton,-28.7667,114.6,20.23,64,100,4.63,AU,1734283861
249,yujing,23.1249,120.4614,14.21,64,97,1.12,TW,1734283862
250,tokar,18.4254,37.729,25.73,68,81,5.78,SD,1734283864
251,kone,-21.0595,164.8658,24.87,86,92,2.13,NC,1734283865
252,herval,-32.0236,-53.3956,16.23,99,100,7.92,BR,1734283866
253,sergeyevka,53.88,67.4158,-16.6,92,19,6.3,KZ,1734283868
254,yerofey pavlovich,53.9667,121.9667,-20.85,87,95,1.8,RU,1734283805
255,pardubice,50.0407,15.7766,4.03,76,75,8.94,CZ,1734283870
256,cole harbour,44.6724,-63.4751,1.63,48,0,5.14,CA,1734283872
257,ishigaki,24.3448,124.1572,17.07,67,100,5.14,JP,1734283873
258,northam,51.0333,-4.2167,11.37,86,86,7.21,GB,1734283874
259,dali,25.7,100.1833,7.44,64,0,0.58,CN,1734283875
260,oum hadjer,13.2954,19.6966,24.64,14,6,4.18,TD,1734283876
261,tra vinh,9.9347,106.3453,22.62,98,100,1.69,VN,1734283879
262,grantsville,40.5999,-112.4644,5.16,61,75,3.58,US,1734283880
263,mineros,-17.1167,-63.2333,35.55,28,75,2.62,BO,1734283881
264,lockwood,45.8191,-108.4149,4.05,88,75,2.57,US,1734283883
265,new norfolk,-42.7826,147.0587,15.51,92,10,1.28,AU,1734283884
266,arkhangel'sk,64.5401,40.5433,-13.94,85,75,2.0,RU,1734283885
267,san antonio de pale,-1.4014,5.6325,26.91,82,73,2.95,GQ,1734283887
268,hengchun,22.0042,120.7439,18.16,71,99,6.49,TW,1734283888
269,kunyang,27.6658,120.5658,5.15,69,7,1.86,CN,1734283889
270,mount gambier,-37.8333,140.7667,25.26,42,100,4.14,AU,1734283891
271,lerik,38.7726,48.4128,-3.18,59,62,5.11,AZ,1734283892
272,trapani,37.8333,12.6667,12.05,67,40,5.14,IT,1734283893
273,baiquan,47.5833,126.0833,-25.38,97,46,2.24,CN,1734283894
274,retreat,38.8245,-85.8533,12.21,87,100,2.24,US,1734283896
275,maceio,-9.6658,-35.7353,30.69,66,75,8.75,BR,1734283843
276,calca,-13.3333,-71.95,20.64,57,97,3.78,PE,1734283898
277,tezu,27.9167,96.1667,16.12,38,0,2.07,IN,1734283900
278,zouerate,22.7187,-12.4521,26.53,10,100,7.46,MR,1734283901
279,cabedelo,-6.9811,-34.8339,31.37,71,80,5.38,BR,1734283902
280,howard springs,-12.497,131.047,29.95,87,100,2.76,AU,1734283903
281,casper,42.8666,-106.3131,6.01,48,0,12.86,US,1734283905
282,puerto palomas,31.7667,-107.6167,15.56,19,71,1.28,MX,1734283906
283,holualoa,19.6228,-155.9522,19.91,81,0,2.57,US,1734283908
284,novi,42.4806,-83.4755,2.89,97,100,0.45,US,1734283909
285,coahuayana de hidalgo,18.7,-103.6583,31.27,56,64,2.08,MX,1734283910
286,belyy yar,53.6039,91.3903,-17.06,85,18,1.0,RU,1734283911
287,minas de matahambre,22.5887,-83.9447,27.66,56,9,6.03,CU,1734283913
288,kolyvan',55.3053,82.7391,-4.32,91,100,5.44,RU,1734283914
289,qui nhon,13.7667,109.2333,23.0,87,97,9.06,VN,1734283915
290,leava,-14.3,-178.1667,27.42,79,74,6.4,WF,1734283917
291,patterson,37.4716,-121.1297,9.44,85,7,3.35,US,1734283918
292,mapimi,25.8167,-103.85,23.98,33,0,3.31,MX,1734283919
293,mulanje,-16.0316,35.5,25.55,67,100,3.46,MW,1734283921
294,jieshi,22.8134,115.8257,14.59,51,98,4.24,CN,1734283922
295,thames,-37.1333,175.5333,17.03,93,100,0.16,NZ,1734283923
296,san antero,9.3741,-75.7589,28.56,70,9,2.16,CO,1734283741
